Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Begin File,End File,Beg File Samp (samples),End File Samp (samples),SNR NIST Quick (dB),predicted_label,confidence,score_mooring noise,score_marine mammal vocalization,score_background noise,score_dolphin click,score_ship noise,score_seismic airgun,cluster
1,Spectrogram 1,1,3.140875144,3.429558522,0,6827.9,0.2887,6827.9,-72.31,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,201016,219492,17.46,mooring noise,0.738809526,0.738809526,0.244403809,0.016309544,0.000473884,3.24E-06,2.17E-10,mooring noise
2,Spectrogram 1,1,3.568126543,4.318703323,786,6456.1,0.7506,5670.1,-85.43,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,228360,276397,13.49,marine mammal vocalization,0.980065167,0.018469675,0.980065167,0.001441679,1.49E-05,8.49E-06,3.63E-10,marine mammal vocalization
3,Spectrogram 1,1,7.933019206,8.036945222,2189.5,17010.5,0.1039,14821,-89.53,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,507713,514364,15.82,mooring noise,0.977987885,0.977987885,0.009787818,0.007524116,0.004640781,5.80E-05,1.38E-06,mooring noise
4,Spectrogram 1,1,10.48498026,10.56581161,1571.9,5894.7,0.0808,4322.8,-86.41,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,671039,676212,12.83,mooring noise,0.543776989,0.543776989,0.066894479,0.262432784,0.126871049,2.40E-05,7.52E-07,mooring noise
5,Spectrogram 1,1,12.13624918,12.33255388,1347.4,6793,0.1963,5445.6,-86.17,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,776720,789283,12.99,mooring noise,0.592957675,0.592957675,0.40281859,0.00065911,0.003564567,8.18E-08,3.65E-08,mooring noise
6,Spectrogram 1,1,14.94225161,15.01153562,1852.6,10498.2,0.0693,8645.6,-90.53,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,956304,960738,13.51,mooring noise,0.974174857,0.974174857,0.000955062,0.024674667,0.000194173,1.31E-06,4.11E-10,mooring noise
7,Spectrogram 1,1,19.00691356,19.4803543,0,22287.7,0.4734,22287.7,-77.58,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,1216442,1246743,18.98,mooring noise,0.94470191,0.94470191,0.04248498,0.0014695,0.011294994,4.86E-05,1.12E-08,mooring noise
8,Spectrogram 1,1,19.91685763,20.18244633,0,3368.4,0.2656,3368.4,-69.27,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,1274679,1291677,17.54,marine mammal vocalization,0.831622124,0.168011114,0.831622124,0.000363718,3.04E-06,2.10E-08,9.94E-13,marine mammal vocalization
9,Spectrogram 1,1,22.45727135,22.59583937,0,16729.8,0.1386,16729.8,-76.28,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,1437265,1446134,19.36,mooring noise,0.982622504,0.982622504,0.008399607,0.003245017,0.005732624,2.33E-07,3.23E-09,mooring noise
10,Spectrogram 1,1,24.44341298,24.53579166,8140.4,10329.8,0.0924,2189.4,-93.75,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,1564378,1570291,12.52,dolphin click,0.622267962,0.088549078,0.229123369,0.05957884,0.622267962,0.00048067,1.04E-08,dolphin click
11,Spectrogram 1,1,25.50576781,26.45264929,0,9263.2,0.9469,9263.2,-74.2,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,1632369,1692970,16.32,marine mammal vocalization,0.907869518,0.084136985,0.907869518,0.000770064,0.006876762,0.000346686,4.70E-08,marine mammal vocalization
12,Spectrogram 1,1,27.15703673,28.32331757,0,6007,1.1663,6007,-72.5,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,1738050,1812692,15.63,mooring noise,0.583843112,0.583843112,0.173331559,0.00025422,0.242418826,0.000151077,1.25E-06,mooring noise
13,Spectrogram 1,1,28.87758965,29.00461034,0,18750.9,0.127,18750.9,-77.08,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,1848166,1856295,19.83,dolphin click,0.39898327,0.351243585,0.247509539,0.002211219,0.39898327,5.20E-05,3.12E-07,dolphin click
14,Spectrogram 1,1,30.81754195,30.90992063,1178.9,29642.1,0.0924,28463.2,-90.07,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,1972323,1978235,21.81,mooring noise,0.976805925,0.976805925,0.019252166,0.000330688,0.003601994,9.24E-06,2.81E-09,mooring noise
15,Spectrogram 1,1,31.03694132,31.19860401,0,3424.6,0.1617,3424.6,-72.06,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,1986364,1996711,16.04,mooring noise,0.892095447,0.892095447,0.047271166,0.002570416,0.057871077,0.000190916,1.03E-06,mooring noise
16,Spectrogram 1,1,34.72054121,34.80137256,0,11452.6,0.0808,11452.6,-74.72,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,2222115,2227288,18.43,mooring noise,0.996629298,0.996629298,0.000646998,0.002593921,0.000128259,1.53E-06,2.09E-10,mooring noise
17,Spectrogram 1,1,34.8475619,35.86372738,842.1,3705.3,1.0162,2863.2,-85.53,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,2230244,2295279,11.99,mooring noise,0.708417058,0.708417058,0.282220751,0.004917325,0.004228913,0.000215964,3.54E-09,mooring noise
18,Spectrogram 1,1,36.04848475,36.18705277,505.3,30596.5,0.1386,30091.2,-88.74,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,2307103,2315971,22.64,marine mammal vocalization,0.853521049,0.125362411,0.853521049,0.002306398,0.018797988,1.21E-05,1.14E-10,marine mammal vocalization
19,Spectrogram 1,1,37.90531029,39.85680992,0,22400,1.9515,22400,-76.82,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,2425940,2550836,19.39,mooring noise,0.81200552,0.81200552,0.095483609,0.074533038,0.017976018,5.52E-07,1.24E-06,mooring noise
20,Spectrogram 1,1,43.95611388,44.07158723,0,30652.6,0.1155,30652.6,-78.25,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,2813191,2820582,24.77,mooring noise,0.931250513,0.931250513,0.039998896,0.003792337,0.024958111,1.32E-07,1.81E-08,mooring noise
21,Spectrogram 1,1,44.45264929,45.34179409,0,9094.7,0.8891,9094.7,-73.99,AMAR1183.20240220T130402Z.wav,AMAR1183.20240220T130402Z.wav,2844970,2901875,16.14,mooring noise,0.96124208,0.96124208,0.038051847,4.20E-05,0.000662829,1.19E-06,3.72E-12,mooring noise
